               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.020719,            0.005931,           0.0073059,             0.70536,             0.85336,             0.79789,             0.65355,            0.015296,           0.0078754,          0.00054351,              0.0784,              0.0024,              0.0024
                   1,            0.020645,           0.0060046,           0.0056444,             0.70453,              0.9154,             0.80381,              0.6826,            0.016089,           0.0099142,          0.00052779,            0.054593,           0.0035933,           0.0035933
                   2,            0.020054,            0.005248,           0.0016762,             0.76119,             0.90083,             0.87161,             0.71755,            0.014462,           0.0085985,          0.00048975,            0.029453,           0.0034533,           0.0034533
